,Text
1056,"Since MCrC was filed in 2004 itself and ex-parte judgment and decree was passed on 24.12.2005, the argument that the appellants were aware about the judgment and decree in 2004 is devoid of substance."
1057,"It has its registered office at 530/1, 3 and 4, Village Bijwasan, New Delhi."
1058,"Though the learned counsel appearing for the State of Punjab stated that there had been an enquiry, we fail to understand as to how there can be an enquiry without regestering a criminal case."
1059,"A similar view was taken by the Supreme Court in a very recent judgment in Zolba vs. Keshao and others, 2008 AIR SCW 2739, where the Supreme Court held as under :-
 "" The use of the word `shall' in Order 8 Rule 1 by itself is not conclusive to determine whether the provision is mandatory or directory."
1060,"IN THE COURT OF SH. NAROTTAM KAUSHAL, SPECIAL JUDGE (PC Act)­05, (ACB), (CENTRAL), TIS HAZARI COURTS, DELHI Corruption Case No. : 33/2008 FIR No. : 71/2006 Case Identification No. : 02401R0465682008 PS : Anti Corruption Branch Under Section : 7/8/13 of Prevention of Corruption Act, 1988 & 420 IPC STATE Versus Om Prakash S/o Late Shri Bhagat Ram R/o Village & Post Office Mundhela Khurd, Delhi ­110073."
1061,"When this appeal was heard, section 100 of the Civil Procedure Code after its amendment of 1976 was in force."
1062,"As has already been discussed above, the accused were not identified initially 19.5.2003 when the incident had occurred inasmuch as a search for the accused was made at various places by Harpreet Singh Inspector/SHO (PW17) and by ASI Kanwaljit Singh (PW14)."
1063,That takes us to the impugned seniority list of 1974.
1064,12. MW-136 Papa son of Detainecijbr 8 days Hegde Madaiah in MM Hills.
1065,This witness has deposed that the respondent was conducting business of M/s Amigo Industries and was looking after affairs of M/s Amigo Industries and was also interacting with customers and clients.
1066,In fact a Bench of this Court in Sundaram Finance case (supra) while considering the scope of Section 9 of the Act has approached the problem from this perspective and incidental observation has been made that Section 11 does not require the Court to pass a judicial order appointing arbitrator.
1067,"[1077G]



JUDGMENT:
 CRIMINAL APPELLATE JURISDICTION: Criminal Appeal No. 12 of 1979."
1068,"the Apex Court has observed: 

                                 ""3.   It   is   now   well   settled   legal   position                           that   the   Irrigation   Department   and   Tele­
                        communication   Department   are  not   an   `Industry'  
                        within   the   meaning   of   definition   under   the                           Industrial Disputes Act as held in  Union of India                           v. Jai Narayan Singh,  1995 Supp. (4) 672                                                                                   and in                                                                                           
                        State of H.P. v. Suresh Kumar Verma,  JT 1996(2)
                                                                         
                       455."
1069,I again told him that as per our office order I was to give water only for one hour for a particular area and if he wants supply for any further time more he may go to our office and obtain order to that effect.
1070,The Supreme Court held that the new Act applies and Section 6 of General Clauses Act is not attracted.
1071,"YOGESH S/O C MAHADEVAPPA, AGE: 36 YEARS NO.6531, BASAVAKRUPA, 16TH CROSS NAGESHWARAN LAYOUT,NANJANGUD MYSORE DISTRICT WORKING AS MOTOR VEHICLES INSPECTOR AT REGIONAL TRANSPORT OFFICE AT BANGALORE WEST 7."
1072,"As a result of the above discussion, Appeal Nos. 801 of 1993, 798 of 1993, 800 of 1993, 797 of 1993, 794 of 1993, 796 of 1993 and 795 of 1993 are allowed and the awards passed against the insurance company are set aside."
1073,"Needless to say in case of any difficulty in respect of any of the directions, it is open to any person or party concerned to make appropriate application for consideration. 

 This matter is disposed of in the above terms. 

 GITA MITTAL (JUDGE) September 29, 2009 kr"
1074,"From bare perusal of documents Ex.DW1/A and DW4/A to Ex.DW4/D, in the light of aforesaid judgment, it appears to be just a guideline to the State mentioned therein to set up administrative machinery to work out the details contained therein in order to implement the Scheme."
1075,"It was argued on behalf of the petitioners in this case that Hari Prasad Sah, respondent No. 3, was not discharged by the petitioners but he left the job of his own accord."
1076,"On 06.12.2003, a complaint was lodged at P.S Rajender Nagar by Sh. J.K. Gupta, brother of deceased to the effect that his brother Dr. R.K. Gupta r/o Apartment no. 89, Priya Apartments, Sector­14, Rohini, Delhi left his house at 10.00 am for his work place Sir Ganga Ram hospital on 05.12.2003."
1077,"Therefore, simply because the service Rules have not been amended, that would not be enough to say that the concept of graded promotion is still in existence."
1078,"Further, it was submitted that the prosecution case Crl.A.Nos. 786, 795, 919, 926/2001 Page 15 about use of a dagger, for killing Manoj, is falsified by the FSL report, which revealed that the blood stain on the dagger did not show any reaction, on its testing. 

25."
1079,"Legal notice of demand dated 14.08.2008 is Ex. CW1/L, Registered post receipt and UPC certificate vide which the aforesaid notice was sent is Ex. CW1/M and Ex. CW1/N respectively, the returned AD Card is Ex. CW1/O and the reply sent by the accused dated 29.08.2008 is Ex. CW1/P. CW-1"
1080,"In another case R. v. Australian Stevedoring Industry Board (1952)88 CLR 100 the High Court of Australia was called upon to review the conduct of a Board empowered to cancel the registration of an employer of dock labour if ""satisfied"" that he was unfit to be registered or had so acted as to interfere with the proper performance of stevedoring work."
1081,"20) According to Dr. Subhash Jain (PW4), deceased told to him that she got burnt while cooking food which he recorded in her pre M.L.C. Report Ex. P/4, whereas according to dying declaration Ex. P/8 recorded before him by S.R.Vishwakarma (DW1), deceased told that she got burnt while preparing tea on the stove and spreading of kerosene from the cane."
1082,But the Government of Maharashtra issued two. resolutions after the bifurcation of the State of Bombay.
1083,"Moreover, all the circumstances should be complete and there should be no gap left in the chain Crl.Appeals.2137 & 2223/2005. 24 of evidence."
